iter	Passed	Remaining
884	2512	326
885	2520	324
886	2521	321
887	2524	318
888	2526	315
889	2529	312
890	2532	309
891	2535	306
892	2539	304
893	2543	301
894	2547	298
895	2549	295
896	2551	292
897	2555	290
898	2557	287
899	2559	284
900	2561	281
901	2563	278
902	2565	275
903	2567	272
904	2570	269
905	2572	266
906	2574	263
907	2576	261
908	2578	258
909	2580	255
910	2582	252
911	2584	249
912	2586	246
913	2588	243
914	2591	240
915	2592	237
916	2595	234
917	2597	232
918	2600	229
919	2602	226
920	2604	223
921	2606	220
922	2608	217
923	2610	214
924	2612	211
925	2614	208
926	2617	206
927	2619	203
928	2621	200
929	2623	197
930	2625	194
931	2627	191
932	2629	188
933	2631	185
934	2633	183
935	2635	180
936	2637	177
937	2639	174
938	2641	171
939	2644	168
940	2646	165
941	2648	163
942	2650	160
943	2652	157
944	2654	154
945	2656	151
946	2659	148
947	2661	145
948	2663	143
949	2665	140
950	2667	137
951	2668	134
952	2670	131
953	2672	128
954	2674	126
955	2677	123
956	2680	120
957	2682	117
958	2684	114
959	2687	111
960	2689	109
961	2693	106
962	2696	103
963	2698	100
964	2699	97
965	2702	95
966	2704	92
967	2706	89
968	2709	86
969	2711	83
970	2712	81
971	2714	78
972	2717	75
973	2721	72
974	2723	69
975	2725	67
976	2727	64
977	2729	61
978	2731	58
979	2733	55
980	2737	53
981	2739	50
982	2741	47
983	2742	44
984	2744	41
985	2747	39
986	2749	36
987	2751	33
988	2753	30
989	2754	27
990	2756	25
991	2758	22
992	2760	19
993	2762	16
994	2764	13
995	2766	11
996	2768	8
997	2770	5
998	2772	2
999	2775	0
